Episodes,Rewards
1,-1269.9130859375
2,-1629.0150146484375
3,-1195.217529296875
4,-1005.0275268554688
5,-995.549560546875
6,-1000.0
7,-1001.1359252929688
8,-1000.0
9,-1250.2977294921875
10,-1005.0
11,-1031.33154296875
12,-1173.3155517578125
13,-1648.1370849609375
14,-1232.6884765625
15,-1167.2825927734375
16,-1323.434326171875
17,-1236.3724365234375
18,-1242.937255859375
19,-1461.193603515625
20,-1477.7694091796875
21,-1144.3604736328125
22,-1290.0374755859375
23,-1368.9144287109375
24,-1506.3626708984375
25,-1576.73876953125
26,-1342.84716796875
27,-1209.56689453125
28,-1170.0518798828125
29,-1724.2080078125
30,-1070.7401123046875
31,-1278.2208251953125
32,-1000.0
33,-1094.2203369140625
34,-1098.8597412109375
35,-1319.3763427734375
36,-1122.355224609375
37,-1024.517822265625
38,-1192.442138671875
39,-1151.108154296875
40,673.3991088867188
41,-1355.380615234375
42,-1108.392578125
43,-1321.45849609375
44,863.9920043945312
45,-1329.0115966796875
46,-1016.0592651367188
47,-1326.0968017578125
48,-991.4803466796875
