Episodes,Goal Rates
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.058800000697374344
18,0.05559999868273735
19,0.10530000180006027
20,0.10000000149011612
21,0.09520000219345093
22,0.0908999964594841
23,0.08699999749660492
24,0.08330000191926956
25,0.07999999821186066
26,0.07689999788999557
27,0.07410000264644623
28,0.0714000016450882
29,0.0689999982714653
30,0.06669999659061432
31,0.06449999660253525
32,0.0625
33,0.060600001364946365
34,0.058800000697374344
35,0.057100001722574234
36,0.05559999868273735
37,0.054099999368190765
38,0.07890000194311142
39,0.07689999788999557
40,0.07500000298023224
41,0.07320000231266022
42,0.0714000016450882
43,0.0697999969124794
44,0.0681999996304512
45,0.06669999659061432
46,0.06520000100135803
47,0.06379999965429306
48,0.0625
49,0.06120000034570694
50,0.05999999865889549
51,0.058800000697374344
52,0.07689999788999557
53,0.0754999965429306
54,0.07410000264644623
55,0.07270000129938126
56,0.0714000016450882
57,0.07020000368356705
58,0.08619999885559082
59,0.10170000046491623
60,0.10000000149011612
61,0.10000000149011612
62,0.09839999675750732
63,0.09839999675750732
64,0.11289999634027481
65,0.12700000405311584
66,0.125
67,0.13850000500679016
68,0.13850000500679016
69,0.1363999992609024
70,0.13429999351501465
71,0.13429999351501465
72,0.1324000060558319
73,0.14489999413490295
74,0.1429000049829483
75,0.15489999949932098
76,0.15489999949932098
77,0.15489999949932098
78,0.15279999375343323
79,0.16439999639987946
80,0.16439999639987946
81,0.17569999396800995
