Episodes,Cumulative Number of Goals
464,125.0
465,126.0
466,127.0
467,127.0
468,127.0
469,127.0
470,127.0
471,127.0
472,127.0
473,127.0
474,127.0
475,128.0
476,128.0
477,128.0
478,128.0
479,129.0
480,130.0
481,130.0
482,131.0
483,131.0
484,131.0
485,131.0
486,131.0
487,132.0
488,133.0
489,134.0
490,135.0
491,136.0
492,136.0
493,136.0
494,136.0
495,136.0
496,136.0
497,136.0
498,136.0
499,136.0
500,137.0
501,138.0
502,138.0
503,138.0
504,138.0
505,138.0
506,139.0
507,139.0
508,140.0
509,140.0
510,140.0
511,140.0
512,140.0
513,140.0
514,140.0
515,140.0
516,140.0
517,140.0
518,141.0
519,142.0
520,142.0
521,143.0
522,143.0
523,143.0
524,144.0
525,144.0
526,145.0
527,145.0
528,146.0
529,146.0
530,146.0
531,146.0
532,147.0
533,147.0
534,147.0
535,148.0
536,148.0
537,148.0
538,149.0
539,149.0
540,150.0
541,150.0
542,150.0
543,150.0
544,151.0
545,151.0
546,151.0
547,151.0
548,152.0
549,152.0
550,152.0
551,153.0
552,153.0
553,154.0
554,154.0
555,154.0
556,154.0
557,155.0
558,155.0
559,155.0
