Episodes,Goal Rates
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.16670000553131104
7,0.1429000049829483
8,0.125
9,0.11110000312328339
10,0.10000000149011612
11,0.0908999964594841
12,0.08330000191926956
13,0.07689999788999557
14,0.0714000016450882
15,0.0714000016450882
16,0.06669999659061432
17,0.0625
18,0.058800000697374344
19,0.05559999868273735
20,0.05559999868273735
21,0.05260000005364418
22,0.05260000005364418
23,0.05000000074505806
24,0.047600001096725464
25,0.047600001096725464
26,0.0908999964594841
27,0.13040000200271606
28,0.125
29,0.125
30,0.11999999731779099
31,0.11999999731779099
32,0.11999999731779099
33,0.11540000140666962
34,0.11110000312328339
35,0.11110000312328339
36,0.11110000312328339
37,0.1429000049829483
38,0.1378999948501587
39,0.1378999948501587
40,0.16670000553131104
41,0.16670000553131104
42,0.16670000553131104
43,0.19349999725818634
44,0.1875
45,0.1817999929189682
46,0.1817999929189682
47,0.17649999260902405
48,0.17649999260902405
49,0.17649999260902405
50,0.17649999260902405
51,0.17649999260902405
52,0.17139999568462372
53,0.19439999759197235
54,0.19439999759197235
55,0.19439999759197235
56,0.1891999989748001
57,0.1842000037431717
58,0.1842000037431717
59,0.1842000037431717
60,0.1842000037431717
61,0.17949999868869781
62,0.17499999701976776
63,0.17069999873638153
64,0.17069999873638153
65,0.16670000553131104
66,0.16279999911785126
67,0.16279999911785126
68,0.1590999960899353
69,0.1590999960899353
70,0.15559999644756317
71,0.15219999849796295
72,0.14890000224113464
73,0.14579999446868896
74,0.1429000049829483
75,0.1599999964237213
76,0.15690000355243683
77,0.15379999577999115
78,0.1509000062942505
79,0.14810000360012054
80,0.14550000429153442
81,0.1606999933719635
82,0.15790000557899475
83,0.15520000457763672
84,0.1525000035762787
85,0.1525000035762787
86,0.16670000553131104
87,0.1639000028371811
88,0.16130000352859497
89,0.15870000422000885
90,0.15620000660419464
91,0.15379999577999115
92,0.15150000154972076
93,0.1492999941110611
94,0.14710000157356262
95,0.14489999413490295
96,0.1429000049829483
97,0.14079999923706055
98,0.1388999968767166
99,0.1388999968767166
100,0.1388999968767166
101,0.1388999968767166
102,0.1388999968767166
103,0.13699999451637268
104,0.13510000705718994
105,0.13330000638961792
106,0.1316000074148178
107,0.1316000074148178
108,0.1298999935388565
109,0.14100000262260437
110,0.13920000195503235
111,0.13920000195503235
112,0.13750000298023224
113,0.13580000400543213
114,0.13410000503063202
115,0.13249999284744263
116,0.13249999284744263
117,0.13099999725818634
118,0.12939999997615814
119,0.12790000438690186
120,0.12790000438690186
121,0.12790000438690186
122,0.12639999389648438
123,0.12639999389648438
124,0.125
125,0.125
126,0.12359999865293503
127,0.12219999730587006
128,0.120899997651577
129,0.11959999799728394
130,0.11829999834299088
131,0.11699999868869781
132,0.11580000072717667
133,0.11460000276565552
134,0.11339999735355377
135,0.11339999735355377
136,0.11339999735355377
137,0.11219999939203262
138,0.11219999939203262
139,0.11219999939203262
