Episodes,Rewards
1,-1514.1558837890625
2,-1395.429443359375
3,-1569.5955810546875
4,-1682.37841796875
5,-1404.143798828125
6,-1226.0272216796875
7,-1342.6317138671875
8,-1693.010498046875
9,-1122.0029296875
10,-1000.0
11,-1931.3543701171875
12,-1458.7222900390625
13,-1816.102294921875
14,-2055.867919921875
15,-1582.3321533203125
16,-1230.4332275390625
17,-1596.972900390625
18,-1250.81396484375
19,-1183.481689453125
20,-1644.4945068359375
21,-1560.371337890625
22,-1553.5574951171875
23,-1475.932373046875
24,-1228.0009765625
25,-1587.604248046875
26,-1682.560302734375
27,-1642.6298828125
28,-1744.05224609375
29,-1619.41943359375
30,-1297.68505859375
31,-1351.9395751953125
32,-1689.40234375
33,-1129.94580078125
34,-1720.1837158203125
35,-1062.2010498046875
36,-1483.697509765625
37,-1415.7960205078125
38,-1153.5748291015625
39,-1544.093017578125
40,-1182.1207275390625
41,-1482.8804931640625
42,-1000.0
43,-1597.8028564453125
44,-1280.265625
45,-976.93310546875
46,-1119.2767333984375
47,-1452.5018310546875
48,-1396.4476318359375
