Episodes,Rewards
1,1093.235107421875
2,1085.2474365234375
3,-1003.5361328125
4,1123.880859375
5,-1065.430908203125
6,1139.8836669921875
7,-1050.468994140625
8,-2023.929443359375
9,1086.984375
10,-1036.8890380859375
11,1203.8009033203125
12,-1046.653076171875
13,1312.0858154296875
14,-1016.6261596679688
15,1287.3160400390625
16,-980.0193481445312
17,1057.829345703125
18,-1050.6690673828125
19,1326.6707763671875
20,-1074.053466796875
21,1217.414306640625
22,-1046.56591796875
23,-864.5545043945312
24,-1049.3310546875
25,1090.5975341796875
26,-1057.2586669921875
27,1236.6517333984375
28,-1006.5807495117188
29,1198.355224609375
30,-1075.7481689453125
31,1145.666259765625
32,-1032.4532470703125
33,1117.6019287109375
34,858.5695190429688
35,1218.645263671875
36,1057.5819091796875
37,1210.2841796875
38,-1254.912353515625
39,1189.1357421875
40,-1000.0
41,1016.47412109375
42,1007.2066040039062
43,-1254.3934326171875
44,1113.965087890625
45,-1071.09130859375
46,1235.4276123046875
47,1048.945556640625
48,1142.258056640625
