Steps,Robot Y Coordinates
1,3.472200478427112e-05
2,-0.0015749497106298804
3,-0.006460902746766806
4,-0.009648043662309647
5,-0.011811254546046257
6,-0.01360289566218853
7,-0.015342561528086662
8,-0.020424064248800278
9,-0.023685364052653313
10,-0.03504424914717674
11,-0.05926712974905968
12,-0.09150027483701706
13,-0.1274596005678177
14,-0.18108715116977692
15,-0.23514828085899353
16,-0.2664411962032318
17,-0.298653781414032
18,-0.33236807584762573
19,-0.349508672952652
20,-0.3619416654109955
21,-0.3650820851325989
22,-0.3662433922290802
23,-0.36951443552970886
24,-0.36860722303390503
25,-0.36338573694229126
26,-0.3601570427417755
27,-0.359196275472641
28,-0.35621359944343567
29,-0.3520210385322571
30,-0.3443298637866974
31,-0.3296162486076355
32,-0.3094530403614044
33,-0.2930654287338257
34,-0.27202266454696655
35,-0.25056493282318115
36,-0.2351498305797577
37,-0.22681093215942383
38,-0.22226114571094513
39,-0.2140355259180069
40,-0.19697457551956177
41,-0.16071376204490662
42,-0.11370180547237396
43,-0.0862184464931488
44,-0.07600661367177963
45,-0.07219799607992172
46,-0.06530985236167908
47,-0.05655757337808609
48,-0.047618672251701355
49,-0.04567135125398636
50,-0.03517474979162216
51,-0.010503629222512245
52,0.030129417777061462
53,0.0663653016090393
54,0.10630771517753601
55,0.14918076992034912
56,0.1889016479253769
57,0.20449285209178925
58,0.21418410539627075
59,0.24304409325122833
60,0.2730907201766968
61,0.2979224920272827
62,0.30937454104423523
63,0.29987266659736633
64,0.2784097194671631
65,0.23394493758678436
66,0.1748591959476471
67,0.12031307816505432
68,0.06827741861343384
69,0.023619048297405243
70,-0.00700872577726841
71,-0.010148989036679268
72,0.0022159649524837732
73,0.019525354728102684
74,0.05615181848406792
75,0.10634458810091019
76,0.16232942044734955
77,0.20428705215454102
78,0.24162618815898895
79,0.2645203769207001
80,0.2760501503944397
81,0.2785775065422058
82,0.2727784514427185
83,0.2684530019760132
84,0.2660551369190216
85,0.26991888880729675
86,0.2797780930995941
87,0.2866527736186981
88,0.286499559879303
89,0.27195480465888977
90,0.24337215721607208
91,0.19975128769874573
92,0.16381192207336426
93,0.13098807632923126
94,0.10554644465446472
95,0.09153786301612854
96,0.08503992855548859
97,0.07042376697063446
98,0.04033682122826576
99,-0.008291278034448624
100,-0.06046435236930847
101,-0.12670867145061493
102,-0.17966774106025696
103,-0.21556344628334045
104,-0.2485288679599762
105,-0.2695571780204773
106,-0.2817322015762329
107,-0.3003186285495758
108,-0.3305521309375763
109,-0.34874027967453003
110,-0.37272560596466064
111,-0.4169202744960785
112,-0.46054863929748535
113,-0.48575088381767273
114,-0.5024241209030151
115,-0.5148428082466125
116,-0.5276063084602356
117,-0.5478501915931702
118,-0.5726680159568787
119,-0.5841204524040222
120,-0.6096405982971191
121,-0.6491989493370056
122,-0.6926596164703369
123,-0.7518710494041443
124,-0.8079608678817749
125,-0.8517377972602844
126,-0.892487108707428
127,-0.9321213364601135
128,-0.9669895172119141
129,-0.9809033870697021
130,-0.9866960644721985
131,-1.0027148723602295
132,-1.0189833641052246
133,-1.0284496545791626
134,-1.0436865091323853
135,-0.00013182654220145196
136,-0.006127169355750084
137,-0.023026231676340103
138,-0.047604750841856
139,-0.07758507132530212
140,-0.09500166773796082
141,-0.10255102068185806
142,-0.09428612887859344
143,-0.08306542783975601
144,-0.07065867632627487
145,-0.05004917085170746
146,-0.013817070983350277
147,0.03428245708346367
148,0.06702321767807007
149,0.1009136289358139
150,0.1282915323972702
151,0.14901027083396912
152,0.15479618310928345
153,0.14952723681926727
154,0.12946562469005585
155,0.10119044780731201
156,0.05561680346727371
157,0.010326925665140152
158,-0.021267805248498917
159,-0.03030470944941044
160,-0.04060438647866249
161,-0.045861512422561646
162,-0.05808035284280777
163,-0.07321113348007202
164,-0.09337081760168076
165,-0.10523521155118942
166,-0.11748026311397552
167,-0.1214938834309578
168,-0.12222599238157272
169,-0.12231259047985077
170,-0.13196305930614471
171,-0.1640557050704956
172,-0.20240280032157898
173,-0.21807579696178436
174,-0.22934430837631226
175,-0.25595420598983765
176,-0.3020182251930237
177,-0.3617282509803772
178,-0.4194348156452179
179,-0.45680856704711914
180,-0.4746246933937073
181,-0.48294970393180847
182,-0.4890565574169159
183,-0.503409743309021
184,-0.5218218564987183
