Steps,Current Distances
1,0.47999998927116394
2,0.49000000953674316
3,0.5199999809265137
4,0.5299999713897705
5,0.5400000214576721
6,0.550000011920929
7,0.5600000023841858
8,0.5699999928474426
9,0.5799999833106995
10,0.6000000238418579
11,0.6299999952316284
12,0.6600000262260437
13,0.6899999976158142
14,0.7400000095367432
15,0.7799999713897705
16,0.800000011920929
17,0.8199999928474426
18,0.8600000143051147
19,0.8799999952316284
20,0.8999999761581421
21,0.9200000166893005
22,0.9300000071525574
23,0.949999988079071
24,0.9700000286102295
25,0.9800000190734863
26,0.9900000095367432
27,1.0
28,1.0299999713897705
29,1.0800000429153442
30,1.1399999856948853
31,1.190000057220459
32,1.2400000095367432
33,1.2799999713897705
34,1.2899999618530273
35,1.2999999523162842
36,1.2999999523162842
37,1.309999942779541
38,1.309999942779541
39,1.3200000524520874
40,1.3300000429153442
41,1.350000023841858
42,1.3700000047683716
43,1.3799999952316284
44,1.3799999952316284
45,1.3899999856948853
46,1.3899999856948853
47,1.399999976158142
48,1.409999966621399
49,1.409999966621399
50,1.4199999570846558
51,1.4299999475479126
52,1.440000057220459
53,1.440000057220459
54,1.4199999570846558
55,1.399999976158142
56,1.3700000047683716
57,1.3600000143051147
58,1.3600000143051147
59,1.350000023841858
60,1.3300000429153442
61,1.2999999523162842
62,1.2699999809265137
63,1.2400000095367432
64,1.2100000381469727
65,1.1799999475479126
66,1.149999976158142
67,1.1399999856948853
68,1.1299999952316284
69,1.100000023841858
70,1.0700000524520874
71,1.0199999809265137
72,0.9700000286102295
73,0.9399999976158142
74,0.9100000262260437
75,0.8899999856948853
76,0.8899999856948853
77,0.8899999856948853
78,0.8799999952316284
79,0.8700000047683716
80,0.8399999737739563
81,0.8100000023841858
82,0.7900000214576721
83,0.7799999713897705
84,0.75
85,0.6899999976158142
86,0.6399999856948853
87,0.6000000238418579
88,0.550000011920929
89,0.5
90,0.4699999988079071
91,0.44999998807907104
92,0.4399999976158142
93,0.46000000834465027
94,0.47999998927116394
95,0.49000000953674316
96,0.5
97,0.5099999904632568
98,0.5299999713897705
99,0.5400000214576721
100,0.5600000023841858
101,0.5799999833106995
102,0.6100000143051147
103,0.6399999856948853
104,0.6800000071525574
105,0.699999988079071
106,0.7099999785423279
107,0.7300000190734863
108,0.75
109,0.7599999904632568
110,0.7799999713897705
111,0.8100000023841858
112,0.8399999737739563
113,0.8500000238418579
114,0.8600000143051147
115,0.8600000143051147
116,0.8600000143051147
117,0.8700000047683716
118,0.8899999856948853
119,0.8999999761581421
120,0.9200000166893005
121,0.9399999976158142
122,0.9700000286102295
123,1.0099999904632568
124,1.059999942779541
125,1.100000023841858
126,1.1399999856948853
127,1.1799999475479126
128,1.2100000381469727
129,1.2300000190734863
130,1.2300000190734863
131,1.2400000095367432
132,1.2599999904632568
133,1.2699999809265137
134,1.2799999713897705
135,1.100000023841858
136,1.100000023841858
137,1.090000033378601
138,1.0800000429153442
139,1.0800000429153442
140,1.0800000429153442
141,1.100000023841858
142,1.1299999952316284
143,1.149999976158142
144,1.1699999570846558
145,1.190000057220459
146,1.2300000190734863
147,1.2699999809265137
148,1.2899999618530273
149,1.2999999523162842
150,1.2999999523162842
151,1.2999999523162842
152,1.2799999713897705
153,1.25
154,1.2200000286102295
155,1.1799999475479126
156,1.1299999952316284
157,1.090000033378601
158,1.0700000524520874
159,1.059999942779541
160,1.0499999523162842
161,1.0499999523162842
162,1.0399999618530273
163,1.0199999809265137
164,1.0
165,0.9900000095367432
166,0.9800000190734863
167,0.9800000190734863
168,0.9800000190734863
169,0.9800000190734863
170,0.9700000286102295
171,0.9399999976158142
172,0.8999999761581421
173,0.8899999856948853
174,0.8799999952316284
175,0.8600000143051147
176,0.8199999928474426
177,0.7799999713897705
178,0.7400000095367432
179,0.7099999785423279
180,0.699999988079071
181,0.6899999976158142
182,0.6899999976158142
183,0.6800000071525574
184,0.6700000166893005
185,0.6600000262260437
186,0.6399999856948853
187,0.6200000047683716
188,0.6000000238418579
189,0.5699999928474426
190,0.5199999809265137
191,0.4699999988079071
192,0.4099999964237213
193,0.3700000047683716
194,0.3400000035762787
195,0.3400000035762787
196,0.3400000035762787
197,0.33000001311302185
198,0.3199999928474426
199,0.3100000023841858
200,0.28999999165534973
201,0.2800000011920929
202,1.8200000524520874
203,1.8200000524520874
204,1.8200000524520874
205,1.809999942779541
206,1.809999942779541
207,1.809999942779541
208,1.809999942779541
209,1.809999942779541
210,1.8200000524520874
211,1.8300000429153442
212,1.8600000143051147
213,1.899999976158142
214,1.940000057220459
215,1.9900000095367432
216,2.0399999618530273
217,2.0899999141693115
218,2.1500000953674316
219,2.200000047683716
220,2.2200000286102295
221,2.240000009536743
222,2.25
223,2.25
224,2.240000009536743
225,2.2200000286102295
226,2.2200000286102295
227,2.2200000286102295
228,2.2100000381469727
229,2.2100000381469727
230,2.200000047683716
231,2.180000066757202
232,2.1500000953674316
233,2.0999999046325684
234,2.049999952316284
235,2.0199999809265137
236,1.9900000095367432
237,1.9700000286102295
238,1.9500000476837158
239,1.9299999475479126
240,1.909999966621399
241,1.8899999856948853
242,1.8700000047683716
