Steps,Headings
1,2.865999937057495
2,2.8940000534057617
3,2.940000057220459
4,2.9549999237060547
5,2.9130001068115234
6,3.010999917984009
7,3.0820000171661377
8,-3.052999973297119
9,-2.9779999256134033
10,-2.872999906539917
11,-2.7249999046325684
12,-2.4509999752044678
13,-2.4110000133514404
14,-2.4049999713897705
15,-2.3459999561309814
16,-2.319000005722046
17,-2.5380001068115234
18,-2.812000036239624
19,-3.124000072479248
20,2.7990000247955322
21,2.6059999465942383
22,2.5969998836517334
23,2.614000082015991
24,2.315000057220459
25,2.252000093460083
26,2.450000047683716
27,2.49399995803833
28,2.502000093460083
29,2.5139999389648438
30,2.503999948501587
31,2.4030001163482666
32,2.428999900817871
33,2.2809998989105225
34,1.8519999980926514
35,1.725000023841858
36,1.937999963760376
37,2.0769999027252197
38,2.1610000133514404
39,2.187999963760376
40,1.9989999532699585
41,1.9279999732971191
42,1.9129999876022339
43,1.9769999980926514
44,2.0889999866485596
45,2.1489999294281006
46,2.190999984741211
47,2.1740000247955322
48,2.328000068664551
49,2.2939999103546143
50,2.0929999351501465
51,1.8530000448226929
52,1.6369999647140503
53,1.4500000476837158
54,1.0980000495910645
55,0.9020000100135803
56,1.0520000457763672
57,1.218999981880188
58,1.225000023841858
59,1.1510000228881836
60,0.8700000047683716
61,0.414000004529953
62,-0.09200000017881393
63,-0.48500001430511475
64,-0.7850000262260437
65,-1.0260000228881836
66,-1.2480000257492065
67,-1.3960000276565552
68,-1.1820000410079956
69,-0.8399999737739563
70,-0.4819999933242798
71,-0.0729999989271164
72,0.1889999955892563
73,0.5400000214576721
74,1.0140000581741333
75,1.4620000123977661
76,1.649999976158142
77,1.5369999408721924
78,1.125
79,0.7289999723434448
80,0.3889999985694885
81,-0.03200000151991844
82,-0.2409999966621399
83,-0.11299999803304672
84,0.10400000214576721
85,0.23399999737739563
86,0.31299999356269836
87,0.26899999380111694
88,0.006000000052154064
89,-0.36800000071525574
90,-0.8389999866485596
91,-1.2769999504089355
92,-1.8489999771118164
93,-2.246999979019165
94,-2.3320000171661377
95,-2.4079999923706055
96,-2.437000036239624
97,-2.246999979019165
98,-1.996999979019165
99,-1.8389999866485596
100,-1.8910000324249268
101,-1.9910000562667847
102,-2.36899995803833
103,-2.7179999351501465
104,-2.8259999752044678
105,-2.813999891281128
106,-2.686000108718872
107,-2.4809999465942383
108,-2.1689999103546143
109,-2.0940001010894775
110,-2.2880001068115234
111,-2.384000062942505
112,-2.2300000190734863
113,-1.9730000495910645
114,-1.7640000581741333
115,-1.7020000219345093
116,-1.8450000286102295
117,-2.1989998817443848
118,-2.380000114440918
