Episodes,Goal Rates
1,1.0
2,0.5
3,0.666700005531311
4,0.5
5,0.6000000238418579
6,0.5
7,0.571399986743927
8,0.5
9,0.5555999875068665
10,0.5
11,0.5454999804496765
12,0.5
13,0.5385000109672546
14,0.5
15,0.53329998254776
16,0.5
17,0.5293999910354614
18,0.5
19,0.5263000130653381
20,0.5
21,0.5238000154495239
22,0.5
23,0.5217000246047974
24,0.5
25,0.5199999809265137
26,0.5
27,0.5184999704360962
28,0.5
29,0.5171999931335449
30,0.5
31,0.5160999894142151
32,0.5
33,0.5152000188827515
34,0.5
35,0.5142999887466431
36,0.5
37,0.5134999752044678
38,0.5
39,0.5127999782562256
40,0.5
41,0.5121999979019165
42,0.5
43,0.5116000175476074
44,0.5
45,0.5110999941825867
46,0.5
47,0.5105999708175659
48,0.5
