Episodes,Rewards
1,-1386.9794921875
2,-1361.92431640625
3,-1513.3427734375
4,-1236.9501953125
5,-1263.905029296875
6,-1326.2301025390625
7,-1384.6329345703125
8,1101.796630859375
9,-1341.60205078125
10,-1345.2176513671875
11,-1330.857177734375
12,-1817.399658203125
13,-1028.897705078125
14,-1022.6151123046875
15,-1380.858154296875
16,-1063.1077880859375
17,-1436.3116455078125
18,-1208.726806640625
19,-1616.2698974609375
20,-1102.52685546875
21,-1586.3758544921875
22,-1270.1988525390625
23,-1526.369140625
24,-1357.640869140625
25,-1178.5374755859375
26,-1147.3599853515625
27,-1213.1812744140625
28,-1429.862060546875
29,-1270.04931640625
30,-1337.20556640625
31,-1015.8604736328125
32,-1253.1156005859375
33,-987.1643676757812
34,-1459.1563720703125
35,-1193.4998779296875
36,-1192.6075439453125
37,-1349.8896484375
38,-1538.41259765625
39,-1347.4100341796875
40,-1429.269775390625
41,1045.004150390625
42,-1233.836181640625
43,-1239.5352783203125
44,-1356.383544921875
45,-1275.173583984375
46,-1231.4288330078125
47,-1176.72900390625
48,-1510.1982421875
