Episodes,Goal Rates
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.16670000553131104
7,0.2856999933719635
8,0.25
9,0.22220000624656677
10,0.30000001192092896
11,0.3635999858379364
12,0.33329999446868896
13,0.3846000134944916
14,0.3571000099182129
15,0.4000000059604645
16,0.4375
17,0.41179999709129333
18,0.44440001249313354
19,0.421099990606308
20,0.44999998807907104
21,0.47620001435279846
22,0.5
23,0.5217000246047974
24,0.541700005531311
25,0.5600000023841858
26,0.5769000053405762
27,0.5925999879837036
28,0.6071000099182129
29,0.6207000017166138
30,0.6333000063896179
31,0.6452000141143799
32,0.6561999917030334
33,0.666700005531311
34,0.6765000224113464
35,0.685699999332428
36,0.6944000124931335
37,0.7027000188827515
38,0.7105000019073486
39,0.7178999781608582
40,0.7250000238418579
41,0.7317000031471252
42,0.738099992275238
43,0.7441999912261963
44,0.75
45,0.7555999755859375
46,0.7609000205993652
47,0.765999972820282
48,0.770799994468689
49,0.7754999995231628
50,0.7799999713897705
51,0.7843000292778015
52,0.7885000109672546
53,0.7925000190734863
54,0.7962999939918518
55,0.800000011920929
56,0.803600013256073
57,0.8069999814033508
58,0.8102999925613403
59,0.8136000037193298
60,0.8166999816894531
61,0.8197000026702881
62,0.8226000070571899
63,0.8253999948501587
64,0.8281000256538391
65,0.8307999968528748
66,0.833299994468689
67,0.8357999920845032
68,0.8381999731063843
69,0.8406000137329102
70,0.8428999781608582
71,0.8450999855995178
72,0.8471999764442444
73,0.8356000185012817
74,0.8378000259399414
75,0.8399999737739563
76,0.8421000242233276
77,0.8442000150680542
78,0.833299994468689
79,0.8353999853134155
80,0.8374999761581421
81,0.8395000100135803
82,0.8414999842643738
83,0.8434000015258789
84,0.8452000021934509
85,0.847100019454956
86,0.848800003528595
87,0.850600004196167
88,0.8522999882698059
89,0.8539000153541565
90,0.8555999994277954
91,0.8571000099182129
92,0.8586999773979187
93,0.8601999878883362
94,0.8616999983787537
95,0.8632000088691711
96,0.8646000027656555
97,0.8659999966621399
98,0.8672999739646912
99,0.8687000274658203
100,0.8700000047683716
101,0.8712999820709229
102,0.8725000023841858
103,0.8737999796867371
104,0.875
105,0.8762000203132629
106,0.8773999810218811
107,0.8784999847412109
108,0.8795999884605408
109,0.8806999921798706
110,0.8817999958992004
111,0.8828999996185303
112,0.883899986743927
113,0.8849999904632568
114,0.8859999775886536
115,0.8870000243186951
116,0.8878999948501587
117,0.8888999819755554
118,0.8898000121116638
119,0.8907999992370605
120,0.891700029373169
121,0.8925999999046326
122,0.8934000134468079
123,0.8942999839782715
124,0.8952000141143799
125,0.8960000276565552
126,0.8967999815940857
127,0.897599995136261
128,0.8984000086784363
129,0.8992000222206116
130,0.8999999761581421
131,0.9007999897003174
132,0.9014999866485596
133,0.9023000001907349
134,0.902999997138977
135,0.9036999940872192
136,0.9043999910354614
137,0.9050999879837036
138,0.9057999849319458
139,0.906499981880188
140,0.9071000218391418
